Institution,Title,Recruitment_period,Education_period,Fees,Quota,Detail,Tel
노원센터,2025년 인지강화코디네이터양성교육,"2025.06.05
~2025.06.08","2025.06.13
~2025.08.01",0원,21,https://50plus.or.kr/education-detail.do?id=49790890,070-7700-6491
금천센터,[나눔교실] 여행 에티켓과 간단한 실용 영어,"2025.06.04
~2025.06.18","2025.06.20
~2025.06.27",0원,10,https://50plus.or.kr/education-detail.do?id=49781920,070-4129-7491
금천센터,[나눔교실] 싱잉볼 아로마테라피,"2025.06.04
~2025.06.16","2025.06.17
~2025.06.24",0원,10,https://50plus.or.kr/education-detail.do?id=49781667,070-4129-7491
동작센터,[아이돌봄학교]산후도우미 양성교실 참여자 모집(경력) 6월-2기,"2025.06.04
~2025.06.18","2025.06.24
~2025.07.03","170,000원",10,https://50plus.or.kr/education-detail.do?id=49774953,02-2169-8705
동작센터,[아이돌봄학교]산후도우미 양성교실 참여자 모집(신규) 6월-2기,"2025.06.04
~2025.06.18","2025.06.24
~2025.07.03","200,000원",10,https://50plus.or.kr/education-detail.do?id=49774180,02-2169-8705
양천센터,그린헬퍼 반려식물 무료분갈이서비스,"2025.06.04
~2025.06.30","2025.06.02
~2025.06.30",0원,999,Not found,Not found
양천센터,닥터자전거 무료점검서비스,"2025.06.04
~2025.06.26","2025.06.05
~2025.06.25",0원,997,https://50plus.or.kr/education-detail.do?id=49764157,0269495069
동작센터,[중장년일자리연구소] 세진사 출장세차 전문가 양성과정(남성),"2025.06.05
~2025.06.19","2025.06.24
~2025.06.26",0원,20,https://50plus.or.kr/education-detail.do?id=49758991,0221698704
시니어일자리지원센터,[잡챌린지] 시니어 스마트워크 디지털 활용 기초역량 강화 7회차 [활용반] (6.18.),"2025.06.03
~2025.06.17","2025.06.18
~2025.06.18",0원,15,https://50plus.or.kr/education-detail.do?id=49716145,시니어일자리지원센터 02-460-5608
금천센터,서울예술공연단과 함께하는 6월 낭만 콘서트(무료 콘서트),"2025.06.02
~2025.06.26","2025.06.26
~2025.06.26",0원,20,https://50plus.or.kr/education-detail.do?id=49715967,070-4129-7486(현인애PM)
시니어일자리지원센터,[잡챌린지] 시니어 스마트워크 디지털 활용 기초역량 강화 6회차 [기초반] (6.18.),"2025.06.03
~2025.06.17","2025.06.18
~2025.06.18",0원,15,https://50plus.or.kr/education-detail.do?id=49715963,시니어일자리지원센터 02-460-5608
시니어일자리지원센터,[잡챌린지] 시니어 스마트워크 디지털 활용 기초역량 강화 5회차 [활용반] (6.11.),"2025.06.03
~2025.06.10","2025.06.11
~2025.06.11",0원,15,https://50plus.or.kr/education-detail.do?id=49715819,시니어일자리지원센터 02-460-5608
금천센터,[금천공감+시네마] 6월 상영작 <하와이 연가> (무료 독립영화 관람),"2025.06.02
~2025.06.26","2025.06.26
~2025.06.26",0원,10,https://50plus.or.kr/education-detail.do?id=49715692,070-4129-7486(현인애PM)
시니어일자리지원센터,[잡챌린지] 시니어 스마트워크 디지털 활용 기초역량 강화 4회차 [기초반] (6.11.),"2025.06.03
~2025.06.10","2025.06.11
~2025.06.11",0원,15,https://50plus.or.kr/education-detail.do?id=49715663,시니어일자리지원센터 02-460-5608
동작센터,[e-디자인학교] AI를 활용한 아트셀러 양성교실,"2025.06.02
~2025.06.26","2025.07.02
~2025.08.20","60,000원",16,https://50plus.or.kr/education-detail.do?id=49697991,0221698704
서부캠퍼스,[6.27]서부독립영화관 「힘을 낼 시간」무료 상영,"2025.06.02
~2025.06.27","2025.06.27
~2025.06.27",0원,30,https://50plus.or.kr/education-detail.do?id=49669333,02-460-5112
금천센터,[나눔교실] 드론 체험 교실,"2025.05.30
~2025.06.13","2025.06.14
~2025.06.14",0원,15,https://50plus.or.kr/education-detail.do?id=49630393,070-4129-7491(커뮤니티 담당자)
금천센터,[모음교실] 누구나 할 수 있는 AI 콘텐츠 만들기: 글쓰기부터 영상까지,"2025.05.30
~2025.06.18","2025.06.19
~2025.07.03","7,000원",12,https://50plus.or.kr/education-detail.do?id=49621155,070-4129-7486(현인애PM)
금천센터,[모음교실] 나만의 이야기를 담은 포토북 만들기,"2025.05.30
~2025.06.17","2025.06.18
~2025.07.02","7,000원",12,https://50plus.or.kr/education-detail.do?id=49620544,070-4129-7486(현인애PM)
금천센터,[모음교실] 스마트폰 드로잉(금천구민 무료),"2025.05.30
~2025.06.16","2025.06.17
~2025.06.17",0원,16,https://50plus.or.kr/education-detail.do?id=49619570,070-4129-7486(현인애PM)
금천센터,[서울런4050 직업역량강화] 청소매니저(일자리 연계 교육) 양성과정(6월),"2025.05.30
~2025.06.18","2025.06.18
~2025.06.18",0원,20,https://50plus.or.kr/education-detail.do?id=49588083,070-4129-7493(이동열PM)
동작센터,[e-커머스학교]아마존 셀러 양성교실(입문),"2025.06.02
~2025.06.24","2025.07.02
~2025.09.10","120,000원",10,https://50plus.or.kr/education-detail.do?id=49565628,0221698704
동작센터,[e-커머스학교] 쇼피셀러 양성교실(입문),"2025.06.02
~2025.06.25","2025.07.03
~2025.07.31","90,000원",10,https://50plus.or.kr/education-detail.do?id=49563044,0221698704
동작센터,[e-디자인학교]네이버 블로그 이모티콘 작가교실(여성),"2025.05.30
~2025.07.01","2025.07.08
~2025.08.07","70,000원",10,https://50plus.or.kr/education-detail.do?id=49556531,0221698704
동작센터,[e-디자인학교]네이버 라인 이모티콘 작가교실(입점과정) (여성),"2025.05.30
~2025.07.01","2025.07.08
~2025.08.07","70,000원",10,Not found,Not found
Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
