id,Category,Address,Tel,Title
1,강남구,서울특별시 강남구 선릉로 668,02-3423-7200,강남구보건소
2,강동구,서울특별시 강동구 성내로 45,02-3425-8500,강동구보건소
3,강북구,서울특별시 강북구 한천로 897,02-901-7600,강북구보건소
4,강서구,서울특별시 강서구 공항대로 561,02-2600-5800,강서구보건소
5,관악구,서울특별시 관악구 관악로 145,02-879-7010,관악구보건소
6,광진구,서울특별시 광진구 자양로 117,02-450-1500,광진구보건소
7,구로구,서울특별시 구로구 경인로 661,02-860-2600,구로구보건소
8,금천구,서울특별시 금천구 시흥대로73길 70,02-2627-2100,금천구보건소
9,노원구,서울특별시 노원구 노해로 437,02-2116-3115,노원구보건소
10,도봉구,서울특별시 도봉구 방학로3길 117,02-2091-4600,도봉구보건소
11,동대문구,서울특별시 동대문구 홍릉로 81,02-2127-5365,동대문구보건소
12,동작구,서울특별시 동작구 장승배기로10길 42,02-820-1423,동작구보건소
13,마포구,서울특별시 마포구 월드컵로 212,02-3153-9020,마포구보건소
14,서대문구,서울특별시 서대문구 연희로 242,02-330-1801,서대문구보건소
15,서초구,서울특별시 서초구 남부순환로 2584,02-2155-8000,서초구보건소
16,성동구,서울특별시 성동구 마장로 23길 10,02-2286-7000,성동구보건소
17,성북구,서울특별시 성북구 화랑로 63,02-2241-1740,성북구보건소
18,송파구,서울특별시 송파구 올림픽로 326,02-2147-3420,송파구보건소
19,양천구,서울특별시 양천구 목동서로 339,02-2620-3114,양천구보건소
20,영등포구,서울특별시 영등포구 당산로 123,02-2670-3114,영등포구보건소
21,용산구,서울특별시 용산구 녹사평대로 150,02-2199-8000,용산구보건소
22,은평구,서울특별시 은평구 은평로 195,02-351-8000,은평구보건소
23,종로구,서울특별시 종로구 자하문로19길 36,02-2148-3500,종로구보건소
24,중구,서울특별시 중구 다산로 39길 16,02-3396-6300,중구보건소
25,중랑구,서울특별시 중랑구 봉화산로 179,02-2094-0700,중랑구보건소
