Id,Title,DateOfRegistration,Deadline,JobCategory,ExperienceRequired,EmploymentType,Salary,SocialEnsurance,RetirementBenefit,Address,Category,WorkingHours,WorkingType,CompanyName,JobDescription,ApplicationMethod,ApplicationType,Document,Detail
1,운서 SK뷰 스카이시티2단지 외곽미화원 구인,25/06/11 등록,채용시까지,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",관계없음,기간의 정함이 있는 근로계약(시간(선택)제),월급 171만원 ~ 171만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"인천광역시 중구 흰바위로 249, 운서 SK뷰 스카이시티 2차) (운남동, 운서 SK뷰 스카이시티 2차)",중구,"※ 상세 근무시간
- - 근무시간 : 평일 08:30~15:00(휴게시간1시간)/ 격주 토요일 08:30~11:30
주 소정근로시간
툴팁
: 32시간","주 6일 근무
(주 소정근로시간: 32시간)",(주)듀델코리아,"- 아파트 외곽청소 업무, 지하주차장 청소, 청소차 운전
- 근무시간 : 평일 08:30~15:00(휴게시간1시간)/ 격주 토요일 08:30~11:30
- 근무장소 :  중구 흰바위로 249 (운남동, 운서 SK뷰 스카이시티 2차)
- 복지카드 소지자 우대
- 급여 : 1,719,000원","방문,
기타 (미화반장 010-5241-6589 연락 후 면접)","서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJDK002506110002&rtnTarget=list6
2,[숭의동]오후 재가 요양보호사 구인,25/06/11 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"인천광역시 미추홀구 경인로 98, 투민힐스빌 (숭의동)",미추홀구,"(근무시간) (오후) 12시 30분 ~ (오후) 3시 30분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",한가족노인복지센터,"-3등급 할아버지 케어(가사,병원동행,식사등)
-근무시간: 12:30~15:30 (주5일/격주 토요일 근무)
-임금: 시급 10,030원 + 주휴수당 + 연차수당 + 기타수당 = 총 12,700원

-채용담당자 : 박호경센터장 ( 032-889-4428/ 010-7367-4425)

※ 근로계약기간의 정함이 없는 근로자를 채용하는 것이라 하더라도 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있습니다.","방문,
기타 (전화주세요.)","서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJDD002506110001&rtnTarget=list2
3,오전재가 요양보호사 구인,25/06/10 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
산재보험
건강보험",퇴직금,"인천광역시 남동구 문화서로61번길 8, . (구월동, 구월래미안)",남동구,"(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",혜안노인복지센터,"-3등급 할머니(독거)
-오른쪽 편마비/ 주1회 샤워외 일반적인 케어희망
-시급 12,700(시급+수당 포함) 
-09:00~12:00/ 주5일
-채용담당자 010-7194-2571 연락주세요","방문,
기타 (전화 후 방문(010-7194-2571))",면접,"이력서,기타 (자격증사본)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJDD002506100003&rtnTarget=list6
4,재가요양보호사_만수동,25/06/11 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직연금,"인천광역시 남동구 백범로149번길 5, . (만수동)",남동구,"※ 상세 근무시간
- 근무시간 07:30~10:30 (주 6회/ 격주 일요일 근무함)
- 시간변경가능, 추가근무 가능하신분 지원하세요
주 소정근로시간
툴팁
: 18시간","주 6일 근무
(주 소정근로시간: 18시간)",청춘실버요양센터,"- 1등급 (여성) / 독거 /일상생활지원
- 근무시간 07:30~10:30 (주 6회)
- 시간변경가능, 추가근무 가능하신분 지원하세요
- 13,700원 (수당포함)
- 채용담당자 032-465-6541","방문,
기타 (전화 통화 후 면접 일정 안내 032-465-6541)","서류,면접","기타(자격증 사본, 건강검진 결과표)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJDE002506110003&rtnTarget=list3
5,재가 요양보호사 구인,25/06/11 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 11,600원 ~ 11,600원","국민연금
고용보험
산재보험
건강보험",퇴직금,"인천광역시 연수구 원인재로 81 (동춘동, 삼성럭키아파트)",연수구,"(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",세상애재가복지센터,"[연수동] 재가 요양보호사 모집
- 4등급 할머니
- 인지활동지원, 신체활동지원, 가사및일상생활지원
- 09시 - 12시 / 주5일 
- 시급 12,700원",방문,"서류,면접","이력서,기타 (건강검진결과지, 요양보호사자격증)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJDI002506110003&rtnTarget=list7
6,재가 요양보호사 모집,25/06/11 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,"인천광역시 남동구 논고개로 17 (논현동, 에코메트로11단지한화꿈에그린아파트)",남동구,"(근무시간) (오전) 10시 00분 ~ (오후) 1시 00분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",행복한노인요양센터,"- 4등급  할머님
- 10:00~13:00(주5일)
- 시급 (수당 포함 12,700원)
* 식사 준비 및 일상가사생활 도움","방문,
기타 (유선통화 후 면접 진행)",면접,"이력서,기타 (요양보호사 자격증 사본 / 채용건강진단서)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJDE002506110001&rtnTarget=list6
7,중산동 이편한세상 영종국제도시센텀베뉴 미화원 채용,25/06/11 등록,채용시까지,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",관계없음,기간의 정함이 있는 근로계약,월급 179만원 ~ 179만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"인천광역시 중구 하늘달빛로 139 (중산동, e편한세상 영종국제도시센텀베뉴)",중구,"※ 상세 근무시간
-화~금 08:30~15:30 
-토~일 08:30~11:30 
휴게시간( (오후) 12시00분~(오후) 01시00분)
주 소정근로시간
툴팁
: 33시간","주 6일 근무
(주 소정근로시간: 33시간)",삼우서비스주식회사,"* 중산동 이편한세상 영종국제도시센텀베뉴 탑승식 청소차운행 미화원 채용
- 근무시간 : 월~금 08:30~15:30(휴게시간 1시간) , 토 08:30~11:30 
- 월   급여 : 1,799,790원",방문,"서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJDK002506110001&rtnTarget=list5
8,도림동 재가요양보호사 모집,25/06/11 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","고용보험
산재보험",해당없음,"인천광역시 남동구 도림로32번길 6, . (도림동, 오복빌라)",남동구,"(근무시간) (오후) 1시 00분 ~ (오후) 4시 00분
주 소정근로시간
툴팁
: 9시간","주 3일 근무
(주 소정근로시간: 9시간)",광명복지센터,"* 도림동 오복빌라 5등급 할머님 케어
- 13:00~16:00 주3일 9시간",방문,면접,기타(요양보호사 자격증),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJDI002506110001&rtnTarget=list1
9,[논현동 ] 재가 요양보호사 구인,25/06/10 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직연금,"인천광역시 남동구 소래역남로16번길 39, . (논현동)",남동구,"(근무시간) (오후) 3시 00분 ~ (오후) 6시 00분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",시티케어재가노인복지센터,"[논현동] 4등급 할머님 케어

○ 일상생활지원, 정서지원
○ 근무시간 : 15:00~18:00, 주 5일
○ 시급 : 최저시급10,030원+주휴수당+연차수당+기타수당= 총 13,000원
○ 채용담당자 전화 후 지원 : 010-3722-3425","방문,
기타 (전화 상담 후 면접 010-3722-3425)","서류,면접","이력서,기타 (- 요양보호사 자격증 사본)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJDA002506100016&rtnTarget=list8
10,재가요양보호사 구인,25/06/10 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,"인천광역시 연수구 신송로6번길 7 (송도동, 송도 성지리벨루스)",연수구,"(근무시간) (오전) 9시 00분 ~ (오후) 12시 30분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",다사랑노인복지센터,"[ 4등급 할머니 재가요양보호사 구인 ]
- 가사지원, 정서지원
- 9시-12시 (3시간 / 주5일)
- 시급 10,030원","방문,
기타 (전화 연락 후 면접)","면접,
기타 (전화후 면접)","이력서,기타 (요양보호사자격증)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJDI002506100012&rtnTarget=list1
