Id,Category,Title,Recruitment_period,Education_period,Date,Quota,Institution,Address,Tel,Detail,Fee,Post
1,동구,요가,2025.02.12 09시 00분 ~ 2025.10.31 23시 00분,2025-03-04 ~ 2025-11-29,"화,목 15:00~16:00",19 / 50 명,생활체육교육,주민행복센터 3층 대강당,032-770-6124,https://www.icdonggu.go.kr/main/community/educate/sports.jsp?acptrun=y#,무료,
2,동구,줌바댄스,2025.02.12 09시 00분 ~ 2025.10.31 23시 00분,2025-03-04 ~ 2025-11-29,"화,목 14:00~15:00",19 / 50 명,생활체육교육,주민행복센터 3층 대강당,032-770-6124,https://www.icdonggu.go.kr/main/community/educate/sports.jsp?acptrun=y#,무료,
3,동구,그라운드 골프,2025.02.12 09시 00분 ~ 2025.10.31 23시 00분,2025-03-04 ~ 2025-11-29,"화,목 14:00~16:00",17 / 40 명,생활체육교육,송현근린공원 인라인스케이트장,032-770-6124,https://www.icdonggu.go.kr/main/community/educate/sports.jsp?acptrun=y#,무료,
4,동구,실전투자 부동산 경매,2025.04.14 09시 00분 ~ 2025.04.30 18시 00분,만 19세 부터 ~ 99세 까지,월 19:00~20:50,6 / 12 명,만석동,만석동 2층 동아리방,032-770-5765,https://www.icdonggu.go.kr/main/community/educate/autonomy.jsp?acptrun=y#,"20,000원",
5,동구,라인댄스,2025.04.14 09시 00분 ~ 2025.04.30 18시 00분,만 13세 부터 ~ 99세 까지,"월,수 11:00~11:50",13 / 16 명,만석동,만석동 2층 동아리방,032-770-5765,https://www.icdonggu.go.kr/main/community/educate/autonomy.jsp?acptrun=y#,"20,000원",
6,동구,어린이 영어교실(중급),2025.04.14 09시 00분 ~ 2025.04.30 18시 00분,만 7세 부터 ~ 14세 까지,수 16:00~17:50,7 / 12 명,만석동,만석동 2층 동아리방,032-770-5765,https://www.icdonggu.go.kr/main/community/educate/autonomy.jsp?acptrun=y#,"20,000원",
7,동구,[25년 2분기] S라인 요가,2025.03.20 00시 00분 ~ 2025.03.31 23시 00분,만 100세 이하,"월,수,금 오전 9시00분 ~ 오전 10시00분",15 / 16 명,송림6동,송림6동 행정복지센터 별관 2층,032-770-5943,https://www.icdonggu.go.kr/main/community/educate/autonomy.jsp?acptrun=y#,"30,000원",
8,동구,[25년 2분기] 라인댄스 초급반,2025.03.20 00시 00분 ~ 2025.03.31 23시 00분,만 100세 이하,"월,수,금 오전 10시 ~ 오전 11시",12 / 15 명,송림6동,송림6동 행정복지센터 별관 2층,032-770-5943,https://www.icdonggu.go.kr/main/community/educate/autonomy.jsp?acptrun=y#,"30,000원",
9,동구,[25년 2분기] 라인댄스 중급반,2025.03.20 00시 00분 ~ 2025.03.31 23시 00분,만 100세 이하,"월,수,금 오전 11시 ~ 오후 12시",17 / 17 명,송림6동,송림6동 행정복지센터 별관 2층,032-770-5943,https://www.icdonggu.go.kr/main/community/educate/autonomy.jsp?acptrun=y#,"30,000원",
10,동구,[25년 2분기] SNPE 바른자세 운동,2025.03.20 00시 00분 ~ 2025.03.31 23시 00분,만 100세 이하,"월,수,금 오후 2시00분 ~ 오후 3시00분",7 / 15 명,송림6동,송림6동 행정복지센터 별관 2층,032-770-5943,https://www.icdonggu.go.kr/main/community/educate/autonomy.jsp?acptrun=y#,"30,000원",
