Id,JobTitle,DateOfRegistration,Deadline,JobCategory,ExperienceRequired,EmploymentType,Salary,Address,Category,WorkingHours,CompanyName,JobDescription,ApplicationMethod,Document,Detail
1,[역삼동/4등급/여자/오후] 재가 요양보호사 채용,2025-07-04,2025-09-03,요양보호사,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 강남구 선릉로69길,강남구,"주5일
주 15시간 근로
13:00 ~ 16:00",더사랑방문요양센터,"직무내용
* 4등급 여자어르신(36년생) 케어/거동가능/독거
* 점심식사 준비/말벗/청소, 세탁 등 일상생활지원 
* 토요일(또는 격주) 근무 협의가능

* 시급: 12,700원(기본:10,030원+주휴수당+연차수당 포함) 지급","방문,
기타 (전화면접)",기타(자격증 사본),https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAG002507040012&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
2,[관악구 신림주공1단지 ] 4등급 여/09:00~12:00(주5일)...,2025-07-04,2025-09-03,요양보호사,경력무관,재가 요양보호사,"시급 10,030 원 ~ 13,000 원",서울특별시 관악구 광신길,관악구,"주5일
주 15시간 근로
09:00 ~ 12:00",굿모닝재가복지센터,"직무내용
º 대상 : 4등급 여 / 인지 및 거동 양호  ※ 남편분은 출근하시고 안 계심
º 직무 : 일상생활지원(반찬 안 함)
º 시간 : 09:00~12:00(주5일)
º 시급 : 13,000원(수당포함) 
º 위치 : 관악구 광신길 160 신림주공1단지","방문,
기타 (전화 후 방문 010-7280-3147)","기타(요양보호사 자격증, 건강검진표)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAS002507040011&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
3,[신용산역] 용산시티파크2단지 외곽미화원 구인,2025-07-04,2025-09-03,청소원,경력무관,건물 청소원,"시급 10,030 원 ~ 10,030 원",서울특별시 용산구 서빙고로,용산구,주5일,（주）홈스웰,"직무내용
- [신용산역] 용산시티파크2단지 외곽미화원 구인

- 근무시간: 월~금 8시~16시, 격주 토 8시~12시
- 휴게시간 : 점심 11:30~13:00
- 급여: 1,940,320원",,,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAV002507040010&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
4,[하왕십리동 4등급 할아버지 14:00~17:00 주5일] 재가요양...,2025-07-04,2025-09-03,요양보호사,경력무관,재가 요양보호사,"시급 10,030 원 이상",서울특별시 성동구 난계로,성동구,"주5일
주 15시간 근로",신금호재가노인복지센터,"직무내용
4등급 할아버지 케어
-일상생활지원업무등
-14:00~17:00 주5일
-시급 10,030원(수당 및 주휴수당 별도지급)","방문,팩스,
기타 (전화 후 방문)",이력서,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAQ002507040007&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
5,재가요양보호사 모집(개봉3동),2025-07-04,2025-09-03,요양보호사,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 구로구 개봉로3길,구로구,"주5일
주 15시간 근로
15:00 ~ 18:00",구로사랑노인복지센터,"직무내용
- 대상자: 81세 4등급 할머니/독거/거동가능/인지 좋으심
- 근무지: 개봉3동 한진아파트
- 근무시간: 15시~18시/주5일
- 직무내용: 일상생활케어
- 시급 : 기본10,030+각종 수당=12,700","방문,팩스,
기타 (111@naver.com)",이력서,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJKE002507040012&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
6,[신내대림두산아파트] 외곽청소원 채용공고,2025-07-04,2025-09-03,청소원,경력무관,건물 청소원,월급 135 만원 ~ 135 만원,서울특별시 중랑구 신내로21길,중랑구,"주5일
주 25시간 근로
09:00 ~ 15:00",주식회사인동,"직무내용
*신내두산대림아파트 외곽청소
*(외곽) 9:00~15:00(휴게 1시간)/주5일
*월1,358,000원",방문,이력서,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAZ002507040006&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
7,3등급 여자어르신 케어 요양보호사 구인,2025-07-04,2025-09-03,요양보호사,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 노원구 마들로,노원구,"주5일
주 15시간 근로
08:30 ~ 11:30",가나네트워크 재가센터,"직무내용
* 월계동 3등급 여자어르신 
* 주 5일 근무
* 8:30~11:30 
* 시급 12,700원 (포괄시급)
* 일상생활지원","방문,
기타 (전화)",기타(자격증사본),https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10992507040003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
8,[재가요양보호사 모집] 당산동4가 / 1등급 / 여자 어르신,2025-07-04,2025-09-03,요양보호사,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 영등포구 당산동4가,영등포구,주5일,'(A)비지팅엔젤스영등포지점,"직무내용
직무: 1등급 여자 어르신 돌봄 - 신체지원, 가사일상지원, 정서지원 등 

근무시간: 13:00~17:00 / 주5일

시급: 12,700원+중증수당 (주휴수당, 연차수당, 기타 수당 등 포함)

* 전화지원 김미숙 담당자(H:010-9236-1716)",,,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAU002507040014&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
9,[중곡동/3등급/남자/오전+오후] 재가 요양보호사 채용,2025-07-04,2025-09-03,요양보호사,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 광진구 자양로43길,광진구,"주3일
주 9시간 근로",한마음방문요양센터,"직무내용
* 4등급 남자어르신(41년생) 케어/거동불편/배우자와 거주
* 투석병원 입실(10:00~11:30) 및 퇴실(15:30~17:00) 동행/이동시 부축필요
* 자기차량 운전으로 서비스 제공/교통비 지급
* 1일3시간/주3일(월,수,금요일) 근무

* 시급: 13,000원(기본:10,030원+주휴수당+연차수당 포함) 지급","방문,
기타 (전화면접)",기타(자격증 사본),https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAG002507040011&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
10,[신월동] 아파트 미화원 구인,2025-07-04,2025-08-03,청소원,경력무관,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)","시급 10,030 원 ~ 10,030 원",서울특별시 양천구 오목로,양천구,"주5일
09:00 ~ 15:00",동원데자뷰아파트입주자대표회의,"직무내용
- 신월동 장수마을 동원데쟈뷰 아파트 미화
- 주5일, 09:00~15:00(휴게시간 12:00~13:00)
- 월 1,308,000원","방문,
기타 (전화 후 방문)",이력서,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAT002507040009&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
