Id,Title,DateOfRegistration,Deadline,JobCategory,ExperienceRequired,EmploymentType,Salary,SocialEnsurance,RetirementBenefit,Address,Category,WorkingHours,WorkingType,CompanyName,JobDescription,ApplicationMethod,ApplicationType,Document,Detail
1,힐스테이트 시화로 라군 인테라스 내부 미화원 모집,"25/06/10 등록
25/08/09 마감",25/08/09 마감,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",관계없음,기간의 정함이 있는 근로계약,월급 175만원 ~ 175만원,"국민연금
고용보험
산재보험
건강보험",해당없음,"경기도 안산시 단원구 엠티브이19로 15, 엠티브이19로 12(힐스테이트 시화호 라군 인테라스) (성곡동)",안산시,"※ 상세 근무시간
주6일/ 월~금 08:00~15:00/ 토요일 09:00~12:00/ 휴게시간 : 12:00~13:00
주 소정근로시간
툴팁
: 33시간","주 6일 근무
(주 소정근로시간: 33시간)",국제경보산업(주),"* 오피스텔(힐스테이트 시화호 라군 인테라스) 미화업무

- 근무시간 : 주6일/ 월~금 08:00~15:00/ 토요일 09:00~12:00
- 급여 : 1,750,000원
- 근무지 : 안산시 단원구 엠티브이19로 12(힐스테이트 시화호 라군 인테라스)/ 
- 교통편 
      서해선 원시역 500번 버스-->현장(약25분소요), 
      초지역 500번 시내버스- ->현장(약45분 소요)
      안산스마트허브 똑버스(호출버스) 이용
- 2개월 계약 후 재계약
- 복지카드 소지자 우대","팩스,워크넷
고용24 입사지원",면접,이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKP002506100003&rtnTarget=list1
2,재가요양보호사 구합니다,"25/06/10 등록
25/06/24 마감",25/06/24 마감,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 남양주시 오남읍 진건오남로 516-53, . (신일해피트리아파트)",남양주시,"(근무시간) (오전) 8시 30분 ~ (오전) 11시 30분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",다올방문요양센터,"*4등급 할머니 케어
-가사지원, 식사도움
-주5일/8:30~11:30
-시급 12700원(10030원+기타수당 포함)



‘실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음’",방문,"서류,면접","이력서,기타 (요양보호사 자격증)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF10242506100002&rtnTarget=list3
3,정왕동 시화유통상가 외곽 미화원 구인,25/06/10 등록,채용시까지,건물 청소원,관계없음,기간의 정함이 있는 근로계약,"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 시흥시 공단1대로 244, . (정왕동)",시흥시,"※ 상세 근무시간
06:30~15:20",주 5일 근무,주식회사 이데아그룹,"- 정왕동 시화유통상가 외곽 미화 
- 근무시간  06:30~15:20 (휴게시간 2시간)
- 월1,830,475원 
- 장애인복지카드 소지자 필수",방문,"서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKO002506100001&rtnTarget=list6
4,아파트 경비직 구인(성원1차),"25/06/11 등록
25/07/10 마감",25/07/10 마감,아파트·빌라 경비원,관계없음,기간의 정함이 있는 근로계약,월급 228만원 이상,"국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 안양시 만안구 병목안로 81, 81 (안양동, 성원1차아파트)",안양시,"(근무시간) (오전) 6시 00분 ~ (오전) 6시 00분
주 소정근로시간
툴팁
: 40시간","주 4일 근무
(주 소정근로시간: 40시간)",(주)태영,"* 안양성원 1차 아파트 경비 
-아파트 내 경비원의 소관업무
-격일근무 /오전  06:00~익일  06:00 (휴게시간 주4/ 야간 6)
-급여: 2,280,000원 
-신임교육이수증, 배치폐지확인서
-장애인복지카드 소지자 우대
*현장방문하지마세요. 통화 후 면접 안내",Not found,Not found,Not found,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKR002506110001&rtnTarget=list3
5,[구갈동] 강남마을7단지 계룡리슈빌아파트 - 경비대원 모집,"25/06/10 등록
25/06/24 마감",25/06/24 마감,아파트·빌라 경비원,관계없음,기간의 정함이 있는 근로계약,월급 275만원 ~ 275만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 용인시 기흥구 강남동로 54, . (구갈동, 강남마을7단지계룡리슈빌아파트)",용인시,"(근무시간) (오전) 7시 00분 ~ (오전) 7시 00분
주 소정근로시간
툴팁
: 40시간","주 4일 근무
(주 소정근로시간: 40시간)",(유) 원광,"▣ 격일근무:  07:00~ 익일07:00( 휴게시간 주간 4시간, 야간 4시간)
▣ 급여: 2,752,400원
▣ 지원 : 경비반장님 010-2757-3700",Not found,Not found,Not found,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKN002506100011&rtnTarget=list4
6,장기동 재가요양보호사 모집,25/06/10 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 김포시 김포한강1로97번길 10-22, 미성하우스 (장기동)",김포시,"(근무시간) (오후) 1시 00분 ~ (오후) 4시 00분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",A+두손방문요양센터,"장기동 재가요양보호사 구인
* 대 상 자: 4등급 여자어르신(독거)
* 근무시간: 주5일(월~금) 13:00~16:00 
* 급여: 시급10,030+주휴수당 및 기타수당 포함 12800원

* 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음.",방문,기타(전화 후 방문),"기타(전화 후 방문/ 요양보호사1급 자격증, 건강검진서 필수)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKI002506100021&rtnTarget=list7
7,재가 요양보호사님을 채용합니다.,25/06/10 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직연금,"경기도 의왕시 원골로 43, . (오전동, 모락산현대아파트)",의왕시,"(근무시간) (오후) 1시 00분 ~ (오후) 4시 00분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",케어네이션 의왕센터,"★ 5등급 여자어르신 
 - 치매교육이수 필수
 - 주5일(13~16시)
 - 추가수당포함하여 12,700원
*실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로
 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음.",방문,"서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKY002506100002&rtnTarget=list1
8,입원환자 치료실 이동 도움주실 분 구합니다. (시니어인턴십 참여),25/06/10 등록,채용시까지,기타 보건·의료 서비스 종사원,관계없음,기간의 정함이 없는 근로계약,월급 220만원 ~ 220만원,"국민연금
고용보험
산재보험
건강보험",퇴직연금,"경기도 남양주시 경춘로1308번길 2, 4~7층,8층 일부 (평내동)",남양주시,"(근무시간) (오전) 8시 00분 ~ (오후) 5시 00분
휴게시간( (오후) 12시00분~(오후) 01시00분)
주 소정근로시간
툴팁
: 40시간","주 5일 근무
(주 소정근로시간: 40시간)",필립요양병원,"남양주시 평내동에 위치한 필립요양병원입니다.
거동이 불편하신 입원환자가 치료실, 검사실 등으로 이동할 때 이동을 담당하실 분 찾습니다.

담당업무 : 입원환자 치료실, 검사실 이동 도움

근무시간 

평일 08시 00분 ~ 17시 00분 (휴계시간 12시 00분 ~ 13시 00분, 점심식사 제공)
토요일,일요일,공휴일 근무 없습니다.(추가근무 발생 시 수당 지급)

월 급여 총액 2,200,000원","워크넷,
이메일 (개인회원 로그인 후 조회가능) 기본 이력서 이메일 보내기
고용24 입사지원","서류,면접","이력서,자기소개서",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K151572506100015&rtnTarget=list3
9,[다산동] 빙그레 남양주 공장 경비대원 모집 (격일/비번 2교대) (월 275만원),25/06/10 등록,채용시까지,시설·호송·특수 경비원(해당 경비지도사 포함),관계없음,기간의 정함이 있는 근로계약,월급 275만원 ~ 276만원,"국민연금
고용보험
산재보험
건강보험",퇴직연금,"경기도 남양주시 다산순환로 45, 빙그레 도농 1공장 (다산동)",남양주시,"※ 상세 근무시간
(근무시간) (오전) 6시 30분 ~ (오전) 6시 30분
휴게시간( (오전) 12시00분~(오전) 05시00분)
(격일근무)
주 소정근로시간
툴팁
: 42시간","주 4일 근무
(주 소정근로시간: 42시간)",(주)맥풍,"빙그레 도농공장 경비대원 업무

1. 정문 내방문객 응대 업무
2. 공장 내 주차 관리업무
3. 공장 내 식료품 계근업무
4. 공장 내 안전사고/화재/도난 등 예방업무",Not found,Not found,Not found,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKJ002506100003&rtnTarget=list4
10,[안성시 대덕면] 아파트 미화원(외곽) 구인,25/06/11 등록,채용시까지,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",관계없음,기간의 정함이 없는 근로계약(시간(선택)제),월급 158만원 ~ 158만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 안성시 대덕면 서동대로 4725, . (안성 롯데캐슬)",안성시,"※ 상세 근무시간
(월~금) 09:00~15:30
(토요일) 09:00~12:00
주 소정근로시간
툴팁
: 28시간","주 6일 근무
(주 소정근로시간: 28시간)",주식회사세원건물관리,"* 아파트  외곽 미화 업무
* 월 급여 : 1,584,590원
* 근무시간 : (월~금요일) 09:00~15:30 /(토요일)  09:00~12:00 /
* 근무지 : 안성 롯데캐슬 아파트",방문,서류,이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKN002506110007&rtnTarget=list4
