Job Title,Date of registration,Deadline,Job Category,Experience Required,Employment Type,Salary,SocialEnsurance,RetirementBenefit,Location,Working Hours,Working Type,Company Name,Job Description,ApplicationMethod,ApplicationType,document,Post
배송 및 창고관리 모집,25/05/16 등록,채용시까지,배송·납품 운전원(납품영업 포함),관계없음,기간의 정함이 없는 근로계약,"연봉 2,520만원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,경기도 하남시 감북로27번길 80-24 (감북동),"(근무시간) (오전) 7시 30분 ~ (오후) 4시 30분
주 소정근로시간
툴팁
: 40시간","주 5일 근무
(주 소정근로시간: 40시간)",주식회사 엠에스에프디,"- 식자재(피자재료) 배송(1톤탑차 운송)
- 창고장을 도와주며, 배송기사를 도와 일부 배송업무도 함 
- 성별 제한 없음
- 급여: 연봉 2,520만원 (25년 기준)
- 월~금 07:30~16:30(주5일)
- 지원 및 문의 : 02-482-1042/010-3724-4073, 워크넷 입사지원, 팩스(02-482-1252), 이메일(sunflower2512@hanmail.net) 로 연락바랍니다.","방문,팩스,
이메일 (개인회원 로그인 후 조회가능),
기타 (지원 및 문의 : 02-482-1042/010-3724-4073, 워크넷 입사지원, 팩스(02-482-1252), 이메일(sunflower2512@hanmail.net) 로 연락바랍니다.) 기본 이력서 이메일 보내기",면접,이력서,
"재가요양보호사 구인(5등급, 87세, 여자어르신)",25/05/16 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직연금,"경기도 남양주시 별내3로 159, . (별내동, 별사랑마을2-7단지)","(근무시간) (오전) 11시 00분 ~ (오후) 2시 00분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",아가페실버케어센터,"[별가람초 근처, 별사랑2-7단지]
-5등급 87세 여자어르신(독거)
-월~금 11:00~14:00 (주5일 15시간)
-치매교육이수 필수
-인지프로그램 지원, 가사 및 일상생활지원
-12,700원(주휴수당, 연차수당등 포함)","방문,워크넷,
기타 (전화 후 방문)
고용24 입사지원","면접,
기타 (요양보호사자격증사본)",이력서,
[신정마을7단지 상록아파트] 경비원 대원 채용,25/05/16 등록,채용시까지,아파트·빌라 경비원,관계없음,기간의 정함이 있는 근로계약,월급 253만원 ~ 253만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 용인시 수지구 풍덕천로 75, . (풍덕천동, 신정마을7단지아파트)","※ 상세 근무시간
격일근무06:00~ 익일06:00
휴게시간 주간3,야간6시간)
주 소정근로시간
툴팁
: 39시간","주 4일 근무
(주 소정근로시간: 39시간)",주식회사 신화피엠씨,"- 수지 신정마을 7단지상록 아파트 경비구인(경비교육이수)
- 공용주택 시설경비/1조4인근무제(반장포함)
- 급여 : 2,536,690원
- 근무시간 격일근무: 06:00~익일06:00(휴게시간 주3,야6)
- 지원문의 :  이력서 문자 전송 (010-8983-2109)",Not found,Not found,Not found,
[아파트경비원] 향남 부영3단지 복지카드 소지 필수,25/05/16 등록,채용시까지,아파트·빌라 경비원,관계없음,기간의 정함이 있는 근로계약(시간(선택)제),월급 240만원 ~ 240만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 화성시 향남읍 상신하길로328번길 21, 301 (화성향남서봉마을사랑으로부영3단지)","(근무시간) (오전) 7시 00분 ~ (오전) 7시 00분
(격일근무)
주 소정근로시간
툴팁
: 32시간","주 4일 근무
(주 소정근로시간: 32시간)",주식회사 우창개발,"◎직무내용: 아파트 경비 업무 
◎근무시간: 07:00~07:00 (격일근무) 
◎급       여: 월 2,402,650
◎전화 문의 : 팀장 010-3365-9565


※ 복지카드 소지 및 일반경비원신임교육 이수 필수
※ 고용촉진지원금대상자,취업보호대상자 우대","방문,워크넷
고용24 입사지원",서류,이력서,
재가요양보호사 모집 - 3등급 / 여자어르신 / 용인 수지구 상현동,25/05/16 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 용인시 수지구 상현로 30-10 (상현동, 광교상떼빌파크뷰)","※ 상세 근무시간
09:00~12:00 또는 13:00~16:00 중 선택가능 / 주5일

주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",서울재가복지센터,"[재가요양보호사 모집]

직무: 3등급 여자 어르신 돌봄 - 부부거주, 거동가능, 가사지원 및 일상생활 지원 등 

근무시간: 09:00~12:00 또는 13:00~16:00 중 선택가능 / 주5일

시급: 12,800원 (주휴수당, 연차수당, 기타 수당 등 포함)

* 지원방법: 전화지원 010-3530-4706",기타(* 전화지원: 장외남 담당자 (010-3530-4706)),면접,이력서,
[파라곤센트럴오션시티] 내부 미화원 모집합니다,25/05/16 등록,채용시까지,건물 청소원,관계없음,기간의 정함이 있는 근로계약(시간(선택)제),월급 192만원 ~ 192만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 시흥시 거북섬남로 11, 관리사무소 (정왕동, 파라곤 센트럴 오션시티)","※ 상세 근무시간
평일(08:00~16:00)
격주 토(08:00~12:00)
휴게시간(12:00~13:00)
주 소정근로시간
툴팁
: 37시간","주 6일 근무
(주 소정근로시간: 37시간)",（주）비엠에스종합개발,"- 아파트 내부 미화원 1명(급여 1,925,760원)
- 평일 8:00~16:00/격주 토 8:00~ 12:00 
- 휴게시간 12:00~13:00",방문,면접,이력서,
아파트 미화반장 - 평택 이편한세상비전센터포레,25/05/16 등록,채용시까지,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",관계없음,기간의 정함이 있는 근로계약,월급 180만원 ~ 180만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 평택시 용죽1로 83, 평택 용이동 (용이동, e편한세상 비전 센터포레)","※ 상세 근무시간
08:30~16:00 (휴게1시간)
08:30~11:30(격주토)
주 소정근로시간
툴팁
: 34시간","주 6일 근무
(주 소정근로시간: 34시간)",(주)듀델코리아,"평택 이편한세상비전센터포레
미화반장

월180만원
08:30~16:00 (휴게1시간)
08:30~11:30(격주토)

전화지원 010-8779-6790 박준영 관리부장",기타(전화지원 010-8779-6790 박준영 관리부장),"서류,면접",이력서,
신길동 4등급 재가 요양보호사 모집,25/05/16 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 안산시 단원구 도일로 46, 108동 (신길동, 안산아이파크)","(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분
주 소정근로시간
툴팁
: 18시간","주 6일 근무
(주 소정근로시간: 18시간)",안산의료복지사회적협동조합재가장기요양센터,"- 대상자 : 4등급 여어르신
- 근무시간: 주6일 9:00-12:00
- 직무: 청소 및 식사도움 등 일상생활지원","워크넷,
기타 (안산시 일자리센터 채용대행중 031-481-6672 전화)
고용24 입사지원",면접,이력서,
힐스테이트 지제역 퍼스티움 경비원 모집,25/05/16 등록,채용시까지,아파트·빌라 경비원,관계없음,기간의 정함이 없는 근로계약,월급 305만원 이상,"국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 평택시 지제동삭3로 14, 0 (세교동, 힐스테이트 지제역 퍼스티움)","(근무시간) (오전) 8시 00분 ~ (오전) 8시 00분
휴게시간( (오후) 12시00분~(오후) 01시00분)
주 소정근로시간
툴팁
: 40시간","주 5일 근무
(주 소정근로시간: 40시간)",（주）국보종합관리,"<힐스테이트 지제역 퍼스티움 경비원 모집>

- 이마트 부근

- 근무시간: 08시-익일 08시 . 격일근무 
   (주간휴게시간: 12시-13시.  18시-19시 /  야간휴게시간: 4h)

- 급여: 305만원 이상","워크넷
고용24 입사지원","서류,면접",이력서,
재가 요양보호사 구인,25/05/16 등록,채용시까지,요양보호사,신입,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 양평군 서종면 상산현길 1, .","(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분
주 소정근로시간
툴팁
: 18시간","주 6일 근무
(주 소정근로시간: 18시간)",경희요양재가복지센터,"- 3등급 할머니케어
- 거동가능(부축) 식사도움, 가사지원
- 주6일 / 9~12시
- 시급12620원(10030원+각종수당 포함)","방문,
기타 (010-5290-9968)",면접,기타(요양보호사 자격증),
