Id,Title,DateOfRegistration,Deadline,JobCategory,ExperienceRequired,EmploymentType,Salary,SocialEnsurance,RetirementBenefit,Address,Category,WorkingHours,WorkingType,CompanyName,JobDescription,ApplicationMethod,ApplicationType,Document,Detail
1,석남동 뉴성민병원 주차요원구인,25/05/28 등록,채용시까지,주차 관리·안내원,신입,기간의 정함이 없는 근로계약,"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,"인천광역시 서구 신석로 70, 성민병원 (석남동)",서구,"※ 상세 근무시간
월~토: 8시~13시",주 5일 근무,(주)백산휴레텍,"- 석남동 뉴성민병원 주차관리(차량유도업무등,기계식 주차장관리 경력 있으신분 우대이나 신입도 지원가능.)/ 운전면허(1종보통) 필수
- 근무시간: 주간: 주6일, 08:00-13:00, (월-토) / 추후 상황에 따라 전일근무 가능성 있음.
- 월급: 145만원 / 식사 1식 제공(점심)
- 접수방법: 유선연락 후 면접
 * 유선: 010-8798-5644",기타(유선연락 후 면접(010-8798-5644)),"서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJDH002505280005&rtnTarget=list6
2,［동양동］재가 요양보호사 구인,"25/05/28 등록
25/07/27 마감",25/07/27 마감,요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"인천광역시 계양구 당미2길 12, .... (동양동, 현대아이파크빌)",계양구,"(근무시간) (오후) 12시 30분 ~ (오후) 3시 30분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",에이(A)천사의방문행복나눔노인복지센터,"［동양동］재가 요양보호사 구인

* 4등급 할머니
* 신체활동 및 가사지원(식사)
* 오후 12:30~15:30 (3시간) / 주5일
* 시급 10.030원 (제수당포함 12,700원)","방문,팩스,
기타 (전화)","서류,면접","기타(요양보호사 1급 자격증, 건강검진표)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJDC002505280001&rtnTarget=list2
3,(숭의동)재가요양보호사,25/05/28 등록,채용시까지,재가 요양보호사,신입,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"인천광역시 미추홀구 새천년로 6-10, 소재 (숭의동)",미추홀구,"(근무시간) (오후) 4시 00분 ~ (오후) 7시 00분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",양지재가장기요양기관,"- (숭의동) 5등급(남)/치매이수자
- 오후16시~19시, 주5일
- 12,700원(제수당포함)

*센터장 연락처 : 010-2950-9935","방문,팩스",면접,"이력서,기타 (요양보호사 자격증)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF10132505280002&rtnTarget=list3
4,재가요양보호사 모집,"25/05/28 등록
25/06/11 마감",25/06/11 마감,요양보호사,관계없음,기간의 정함이 없는 근로계약,"시급 10,030원 ~ 12,700원","국민연금
고용보험
산재보험
건강보험",퇴직금,"인천광역시 부평구 마곡로 17, 산곡동 (산곡동, 세창아파트)",부평구,(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분,주 5일 근무,가나안노인복지센터,"- 부평구 마곡로 3등급 할아버지 케어 재가요양보호사 구인
- 09:00~12:00/ 주5일
- 시급12,700원(각종 수당 포함)",방문,"서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF10152505280002&rtnTarget=list4
5,강화읍 재가요양보호사 채용,25/05/28 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","고용보험
산재보험",해당없음,인천광역시 강화군 강화읍 대산길52번길 15,강화군,"※ 상세 근무시간
 * 11:00~13:00 (2시간 / 주5일)
주 소정근로시간
툴팁
: 10시간","주 5일 근무
(주 소정근로시간: 10시간)",사랑나눔재가복지센터,"* 강화읍 3등급 할머니
 (거동 가능 / 아들과 거주 / 케어시간 혼자 계심)
 * 점심식사, 청소, 주1회 목욕 도움 
 * 11:00~13:00 (2시간 / 주5일)
 * 시급 13,500원(주휴, 연차수당등 포함)",방문,면접,이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJDH002505280002&rtnTarget=list8
6,인천 서구 당하동(독정로) 재가요양보호사 구인,25/05/28 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약,"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,"인천광역시 서구 독정로 111, 3610-703 (당하동, 인천검단 엘에이치36단지)",서구,"※ 상세 근무시간
주5일,(오전) 8시 00분~(오후)12시",주 5일 근무,효나눔방문요양센터,"- 독정로 LH36단지 2등급 할머니 /아들과 거주하나 케어시간에는 혼자 계심.
- 근무시간: 주6일, 08:00 - 12:00
- 기저귀케어,식사챙기기등일상생활지원. 센터 문의
- 시급: 12,700원(각종제수당 포함) /중증수당 3000원 별도지급",방문,면접,기타(방문),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJDH002505280001&rtnTarget=list8
7,아파트 내부 미화원 구인(송도),25/05/28 등록,채용시까지,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",관계없음,기간의 정함이 있는 근로계약(시간(선택)제),월급 169만원 ~ 169만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"인천광역시 연수구 센트럴로 232, . (송도동, 더샵센트럴파크1)",연수구,"※ 상세 근무시간
(주중) 08:00~15:00
(토) 08:00~11:00
휴게시간( (오후) 12시00분~(오후) 01시00분)
주 소정근로시간
툴팁
: 33시간","주 6일 근무
(주 소정근로시간: 33시간)",（주）비엠에스종합개발,"- 더샵센트럴파크1 아파트 내부 미화 청소
- 주6일근무
- 월~금 08:00~15:00(휴게시간 12:00~13:00) / 토 08:00~11:00",방문,면접,이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJDE002505280001&rtnTarget=list2
8,(용종동) 재가요양보호사 구인,25/05/28 등록,채용시까지,재가 요양보호사,신입,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"인천광역시 계양구 계양문화로 142, 소재 (용종동, 초정마을두산.쌍용아파트)",계양구,"(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분
주 소정근로시간
툴팁
: 6시간","주 2일 근무
(주 소정근로시간: 6시간)",참소망 재가복지 센터,"- 용종동 쌍용아파트
- 3등급, 여자어르신
- 오전9시~12시, 주2일(월,금)
- 시급 15,000원(제수당포함)",방문,면접,기타(요양보호사 자격증),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF10132505280001&rtnTarget=list2
9,행정생활지원사 또는 생활지원사 모집,"25/05/27 등록
25/07/26 마감",25/07/26 마감,기타 사회복지 전문가 및 관련 종사원,관계없음,기간의 정함이 있는 근로계약,월급 130만원 ~ 130만원,"국민연금
고용보험
산재보험
건강보험",퇴직연금,"인천광역시 계양구 경명대로 980, 인천시 계양구 경명대로 980, 5층 (계산동) , 5층 (계산동)",계양구,"(근무시간) (오전) 9시 00분 ~ (오후) 2시 30분
휴게시간( (오후) 12시30분~(오후) 01시00분)
주 소정근로시간
툴팁
: 25시간","주 5일 근무
(주 소정근로시간: 25시간)",구립계산노인복지센터,"<자격기준 및 조건>

가. 노인맞춤돌봄서비스 수행을 위한 역량과 의지를 갖춘 자
나. 사회복지사 또는 요양보호사 자격증 소지자 우대 
다. 관련 업무 유경험자 우대
라. 인천광역시 계양구 거주자 우대
마. 장기요양 방문요양서비스 제공자의 겸직 지양(겸직으로 인한 방문요양서비스 유인 우려)

<근무조건>

가. 근무기간: 2025. 6. 10. ~ 2025. 12. 31.
              (기간제 근로자)
나. 근무시간: 주 5일, 일 5시간 근무 
               (09:00~14:30, 휴게시간 30분 제외)

<근무내용>
가. 지역내 독거노인 욕구별 맞춤형 서비스제공
   (안전, 사회참여, 생활교육, 민간자원연계 등)
나. 중점 돌봄군 일상생활지원
   (식사·청소가사지원, 간병, 외출동행, 장보기 등)

<제출서류>

가. 이력서 1부
나. 주민등록등본 1부
(주민번호 뒷자리 가림처리, 거주지 확인 후 반환)
다. 경력(재직) 증명서(해당자) 
라. 자격증 사본 1부
마. 개인정보 수집․ 이용 동의서 1부
바. 채용서류 반환청구서 1부(서류 반환을 원하는 경우)",방문,"서류,면접","이력서(자사이력서양식),경력증명서,기타 (이외 관련 자격증 사본 첨부 개인정보동의서(필수), 서류반환청구서(서류반환원하는 경우만 작성, 우편반송 개인부담))
※ 자사이력서를 제출서류양식에서 다운로드받아 작성 후 입사지원 하시기 바랍니다.",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF11322505270004&rtnTarget=list4
10,[서구 당하풍림아파트] 재가요양보호사 모집,"25/05/27 등록
25/07/26 마감",25/07/26 마감,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,"인천광역시 서구 원당대로685번길 30, 104동 (마전동, 당하2차풍림아이원아파트)",서구,"(근무시간) (오후) 2시 00분 ~ (오후) 5시 00분
주 소정근로시간
툴팁
: 9시간","주 3일 근무
(주 소정근로시간: 9시간)",사랑나누리재가노인복지센터,"[서구 마전동 당하풍림2차]  재가요양보호사 모집
- 대상자:  4등급 할머니
- 업무: 일상생활 지원 및 가사지원, 부부거주, 강아지 1
- 근무시간: 14:00~17:00 (월, 목, 금, 주3일) 
- 시급  : 13,000원(각종수당포함)","방문,
기타 (담당자 전화)",면접,기타(요양보호사 자격증),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF10152505270007&rtnTarget=list5
