Id,Title,DateOfRegistration,Deadline,JobCategory,ExperienceRequired,EmploymentType,Salary,SocialEnsurance,RetirementBenefit,Address,Category,WorkingHours,WorkingType,CompanyName,JobDescription,ApplicationMethod,ApplicationType,Document,Detail
1,2025년 의왕소방서 공무직원(조리사)채용,"25/05/28 등록
25/06/11 마감",25/06/11 마감,사업체 구내식당 급식 조리사,관계없음,기간의 정함이 없는 근로계약,월급 248만원 ~ 248만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 의왕시 오봉로 9, 의왕소방서 (고천동)",의왕시,"(근무시간) (오전) 9시 00분 ~ (오후) 6시 00분
휴게시간( (오후) 01시00분~(오후) 02시00분)
주 소정근로시간
툴팁
: 40시간","주 5일 근무
(주 소정근로시간: 40시간)",의왕소방서,"[경기도 무기계약근로자(조리사) 채용]

1. 채용분야 및 선발예정인원
 가. 채용분야 : 조리사 / 가직군
 나. 선발인원 : 1명
 다. 직무내용: 의왕소방서 구내식당 조리 및 운영(점심식사 최대인원 70명, 조리사 2인 배치)

2. 채용기준 및 자격조건
 가. 공통기준 
  〇 응시결격사유
    - 「경기도 공무직원 등 운영규정」 제10조 및 제67조(정년)에 해당하지 않는 자
    - 식품위생법 제40조 및 동법 시행규칙 제49조, 제50조에 해당하지 않는 자
  
  〇 응시자격 및 우대사항
    - 자격조건: 조리 자격 소지자(조주기능사 제외)
    - 우대조건: 집단급식소 의 조리사 경력자, 조리분야 자격 2개이상 소지자, 준고령자 및 고령자 우선고용

**상세내용은 첨부파일을 확인바랍니다.

접수기간 : 2025. 5. 29.(목) ~ 6.11.(수) 
접수시간 : 09:00 ~ 18:00(공휴일 및 평일 점심시간 12:00 ~ 13:00 제외)","방문,우편,
이메일 (개인회원 로그인 후 조회가능),
기타 (※ 우편접수(등기)의 경우 접수 마감일 18시까지 도착분에 한함  ※ 전자우편 접수 : boss5p@gg.go.kr (PDF파일 형식으로 제출)) 기본 이력서 이메일 보내기","서류,면접,
기타 (조리 실기)","이력서(자사이력서양식),자기소개서,경력증명서,기타 (첨부파일 확인 후 자사양식으로 제출바랍니다.  응시원서, 주민등록등본, 개인정보동의서, 자격사본, 식당보건증 및 채용신체검사서)
※ 자사이력서를 제출서류양식에서 다운로드받아 작성 후 입사지원 하시기 바랍니다.",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKY002505280001&rtnTarget=list5
2,능곡동 우남퍼스트빌아파트 내부 청소원 구인,25/05/28 등록,채용시까지,건물 청소원,관계없음,기간의 정함이 있는 근로계약,"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 시흥시 시흥대로268번길 75, . (능곡동, 우남퍼스트빌)",시흥시,"※ 상세 근무시간
평일 8:30~15:50
토요일 8:30~11:30
휴게시간( (오전) 11시30분~(오후) 01시00분)",주 6일 근무,현대관리주식회사,"- 능곡동 우남퍼스트빌아파트 내부 청소
- 월 1,614,830원
- 토요일 3격주 휴무",방문,면접,이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKO002505280005&rtnTarget=list6
3,[덕풍동 풍산센트레빌] 3등급 할아버지 방문목욕 요양보호사 구인,25/05/28 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 하남시 덕풍동로 110 (덕풍동, 하남풍산센트레빌아파트)",하남시,"※ 상세 근무시간
주1회(금요일) 16:00~17:00(1시간)
주 소정근로시간
툴팁
: 1시간","주 1일 근무
(주 소정근로시간: 1시간)",비지팅엔젤스 하남미사방문요양지점,"[덕풍동 풍산센트레빌] 3등급 할아버지 방문목욕 요양보호사 구인
- 고관절 수술 후 요양서비스를 받고 계심
- 근로시간: 주1회(금요일) 16:00~17:00(1시간)
- 시급: 19,200원(10,030원+그 외수당)
- 문의전화: 010-6268-3344","방문,
기타 (전화 010-6268-3344)",면접,기타(요양보호사 자격증),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJK5002505280003&rtnTarget=list9
4,[호매실동] 아파트 외곽미화원 구인,25/05/28 등록,채용시까지,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",관계없음,기간의 정함이 있는 근로계약,월급 166만원 이상,"국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 수원시 권선구 호매실로166번길 63, . (호매실동, 호매실스위첸)",수원시,"※ 상세 근무시간
(월~금) 08:00~15:00
(토요일 격주) 08:00~11:00
주 소정근로시간
툴팁
: 30시간","주 6일 근무
(주 소정근로시간: 30시간)",주식회사세원건물관리,"* 아파트 외곽 청소
* 근무시간 : (월~금요일) 08:00~15:00 (휴게시간 1시간) / (토요일 격주 근무) 08:00~11:00
* 근무지 : 호매실스위첸아파트","방문,
기타 (전화 문의 후 방문 면접 진행)",서류,이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKN002505280008&rtnTarget=list1
5,오정초 부천제일시장 부근/4등급 여자어르신],25/05/28 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직연금,"경기도 부천시 오정구 고강로40번길 21-1, 두산빌라 (원종동, 두산빌라)",부천시,"(근무시간) (오후) 1시 00분 ~ (오후) 4시 00분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",가나재가복지센터,"- 4등급 여자어르신 가사, 말벗, 산책
- 주5일, 월~금: 13시~16시
- 시급: 12700원(각종 제수당 포함)",방문,면접,"기타(자격증, 건강검진서)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF10722505280001&rtnTarget=list4
6,[별내동] 아이파크2차 아파트 미화원 구인,25/05/28 등록,채용시까지,환경 미화원,관계없음,기간의 정함이 있는 근로계약(시간(선택)제),월급 150만원 ~ 150만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 남양주시 덕송1로 30, . (별내동, 별내아이파크2차)",남양주시,"※ 상세 근무시간
 평일:09:00~15:30(휴게 1시간), 격주 토요일:09:00~12:00
주 소정근로시간
툴팁
: 29시간","주 6일 근무
(주 소정근로시간: 29시간)",주식회사삼일시스템,"- 별내 아이파크2차 아파트 미화원
- 아파트 미화업무
- 주6일 평일 09:00-15:30 (휴게 1시간) , 격주 토요일 09:00-12:00
- 시급 10,030원 / 월급 1,505,000원 (월 150시간 근로)
- 문의 010-7767-4332","방문,
기타 (전화상담후 방문)","서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKJ002505280007&rtnTarget=list10
7,"* 5등급 할머니 / 의정부 용현동 / 주6일 / 치매교육이수 필수 / 오전, 오후 두타임","25/05/28 등록
25/07/27 마감",25/07/27 마감,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 의정부시 용현로 42, 용현동 (용현동, 신도10차 파크힐타운)",의정부시,"(근무시간) (오전) 8시 30분 ~ (오전) 11시 30분

주 소정근로시간
툴팁
: 33시간","주 6일 근무
(주 소정근로시간: 33시간)",(A+)온누리사랑재가복지센터,"온누리사랑재가 02-956-4025
* 5등급 할머니 / 배우자 동거
* 거동하심. 반찬, 청소, 산책, 목욕, 인지학습
* 근무시간 08:30~11:30(주5일) / 13000원(주휴수당 등 포함)
              15:00~18:00(주6일) / 13500원(비급여)",기타(전화 후 면접 02-956-4025),"서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAK002505280005&rtnTarget=list1
8,관악타운 아파트 내부 미화원 채용,25/05/28 등록,채용시까지,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",관계없음,기간의 정함이 있는 근로계약,월급 161만원 ~ 161만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 안양시 동안구 학의로 20, . (비산동, 관악아파트)",안양시,"※ 상세 근무시간
평일 9:00~16:00, 토요일 9:00~12:00(휴게시간 평일 1.5시간, 주 6일 30.5시간 근무)
주 소정근로시간
툴팁
: 30시간","주 6일 근무
(주 소정근로시간: 30시간)",(주)강일기업,#NAME?,기타(반장님(010-2333-0770)과 통화),면접,이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKR002505280008&rtnTarget=list6
9,[모현읍 힐스테이트몬테로이1단] 경비원 대원 채용,25/05/28 등록,채용시까지,아파트·빌라 경비원,관계없음,기간의 정함이 있는 근로계약,월급 266만원 ~ 266만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,경기도 용인시 처인구 모현읍 왕산로 13 (힐스테이트 몬테로이 1단지),용인시,"※ 상세 근무시간
(격일근무) 07:00~ 익일07:00
휴게시간 주간3,야간5시간)
주 소정근로시간
툴팁
: 39시간","주 4일 근무
(주 소정근로시간: 39시간)",주식회사 신화피엠씨,"- 모현읍 힐스테이트 몬테로이1단지 아파트 경비구인(경비교육이수)
- 공용주택 시설경비/1조6인근무제(반장포함)
- 급여 : 2,669,450원
- 근무시간 격일근무: 07:00~익일07:00(휴게시간 주3,야5)
- 지원문의 :  이력서 문자 전송 (010-5062-5223)",Not found,Not found,Not found,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKX002505280010&rtnTarget=list10
10,아파트 보안대원 모집 - 동아솔레시티,25/05/28 등록,채용시까지,아파트·빌라 경비원,관계없음,기간의 정함이 있는 근로계약,월급 289만원 ~ 289만원,"국민연금
고용보험
산재보험
건강보험",해당없음,"경기도 용인시 기흥구 보정로 30 (보정동, 행원마을동아솔레시티아파트)",용인시,"※ 상세 근무시간
07:00~익일07:00 (휴게 주간3, 야간4) / 격일제
주 소정근로시간
툴팁
: 48시간","주 4일 근무
(주 소정근로시간: 48시간)",(주)듀델코리아,"[아파트 보안대원 모집]

직무: 아파트 보안관리 차단기 운용, CCTV 운용, 순찰 관리사무소 업무(제설 등) 지원
- 경비신임교육 이수자

근무시간: 07:00~익일07:00 (휴게 주간3, 야간4) / 격일제

급여: 월2,898,380원

* 전화지원 010-9074-6497",Not found,Not found,Not found,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAU002505280005&rtnTarget=list1
