City,Title,Recruitment_period,Education_period,Date,Quota,Institution,Address,Tel,State,Detail,Fee,Registration,Post
경기도 평택시,언젠가는 슬기로울 플룻생활,2025.05.09 ~ 2025.05.22,2025.05.23 ~ 2025.05.23,11:00 ~ 12:00 ( 금 ),정원: 50명 / 신청: 4명,평택시 평생학습센터,남부학습공간 3층 소강당,031-8024-2728,신청중,https://www.pyeongtaek.go.kr/learning/eduProgram/view.do?eidx=709&mId=0202010000,무료,"온라인접수, 전화접수",
경기도 평택시,북부) 남성 실버케어 전문가 양성과정,2025.05.07 ~ 2025.05.28,2025.05.29 ~ 2025.07.24,19:00 ~ 21:30 ( 목 ),정원: 20명 / 신청: 5명,평택시 평생학습센터,국제대학교 평생교육원 교육장,031-8024-2570~~2,신청중,https://www.pyeongtaek.go.kr/learning/eduProgram/view.do?eidx=708&mId=0202010000,무료(재료비 2만원 본인부담),온라인접수,
경기도 평택시,"북부)1.5℃의 경고, 지속가능한 미래를 위한 ESG 액션(오썸플렉스 견학)",2025.04.10 ~ 2025.06.17,2025.06.18 ~ 2025.06.18,09:00 ~ 12:00 ( 수 ),정원: 25명 / 신청: 14명,평생학습센터,환경교육센터,031-8024-2728,신청중,https://www.pyeongtaek.go.kr/learning/eduProgram/view.do?eidx=707&mId=0202010000,무료,"온라인접수, 전화접수, 방문접수",
경기도 평택시,"서부)1.5℃의 경고, 지속가능한 미래를 위한 ESG 액션(오썸플렉스 견학)",2025.04.10 ~ 2025.05.20,2025.05.21 ~ 2025.05.21,09:00 ~ 12:00 ( 수 ),정원: 25명 / 신청: 26명,평생학습센터,환경교육센터,031-8024-2728,신청중,https://www.pyeongtaek.go.kr/learning/eduProgram/view.do?eidx=706&mId=0202010000,무료,"온라인접수, 전화접수, 방문접수",
경기도 평택시,(북부) 냠냠패밀리 봉사단 양성과정 / 10회,2025.04.07 ~ 2025.05.26,2025.05.29 ~ 2025.07.10,18:30 ~ 21:00 ( 목 토 ),정원: 20명 / 신청: 28명,평택시 평생학습센터,국제대학교 평생교육원 조리실,"031-8024-7426, 7425",신청중,https://www.pyeongtaek.go.kr/learning/eduProgram/view.do?eidx=704&mId=0202010000,무료(재료비 일부 5만원 본인부담),온라인접수,
경기도 평택시,(남부)프리랜서 및 N잡러 도전 과정 / 5회,2025.04.03 ~ 2025.05.19,2025.05.19 ~ 2025.06.16,19:00 ~ 21:00 (월 ),정원: 30명 / 신청: 45명,평생학습센터,평생학습센터(남부),"031-8024-7426, 7425",신청중,https://www.pyeongtaek.go.kr/learning/eduProgram/view.do?eidx=696&mId=0202010000,무료(본인부담금 1만원),온라인접수,
경기도 평택시,"[ 9기 ] AI와 함께, 평택시민 일상의 진화",2025.03.04 ~ 2025.07.21,2025.07.22 ~ 2025.07.29,10:00 ~ 12:00 ( 화 ),정원: 20명 / 신청: 12명,평택시 평생학습센터,북부학습공간 204호,031)8024-2572,신청중,https://www.pyeongtaek.go.kr/learning/eduProgram/view.do?eidx=691&mId=0202010000,무료,"온라인접수, 전화접수",
경기도 평택시,"[ 8기 ] AI와 함께, 평택시민 일상의 진화",2025.03.04 ~ 2025.07.07,2025.07.08 ~ 2025.07.15,10:00 ~ 12:00 ( 화 ),정원: 20명 / 신청: 23명,평택시 평생학습센터,북부학습공간 204호,031)8024-2572,신청중,https://www.pyeongtaek.go.kr/learning/eduProgram/view.do?eidx=690&mId=0202010000,무료,"온라인접수, 전화접수",
경기도 평택시,"[ 7기 ] AI와 함께, 평택시민 일상의 진화",2025.03.04 ~ 2025.06.23,2025.06.24 ~ 2025.07.01,10:00 ~ 12:00 ( 화 ),정원: 20명 / 신청: 20명,평택시 평생학습센터,북부학습공간 204호,031)8024-2572,신청중,https://www.pyeongtaek.go.kr/learning/eduProgram/view.do?eidx=689&mId=0202010000,무료,"온라인접수, 전화접수",
경기도 평택시,"[ 6기 ] AI와 함께, 평택시민 일상의 진화",2025.03.04 ~ 2025.06.09,2025.06.10 ~ 2025.06.17,10:00 ~ 12:00 ( 화 ),정원: 20명 / 신청: 17명,평택시 평생학습센터,북부학습공간 204호,031)8024-2572,신청중,https://www.pyeongtaek.go.kr/learning/eduProgram/view.do?eidx=688&mId=0202010000,무료,"온라인접수, 전화접수",
경기도 평택시,"[ 5기 ] AI와 함께, 평택시민 일상의 진화(6.3선거로 인해 일정 변경)",2025.03.04 ~ 2025.05.26,2025.05.27 ~ 2025.05.29,10:00 ~ 12:00 ( 화 목 ),정원: 20명 / 신청: 36명,평택시 평생학습센터,북부학습공간 204호,031)8024-2572,신청중,https://www.pyeongtaek.go.kr/learning/eduProgram/view.do?eidx=687&mId=0202010000,무료,"온라인접수, 전화접수",
경기도 평택시,평택 이해하기 '평택사랑(평택愛)' 평택투어,2025.05.01 ~ 2025.06.12,2025.06.13 ~ 2025.07.18,09:00 ~ 12:30 ( 금 ),정원: 25명 / 신청: 32명,평택시 평생학습센터,북부학습공간(이충동 84-6),031-8024-2728,신청중,https://www.pyeongtaek.go.kr/learning/eduProgram/view.do?eidx=673&mId=0202010000,"무료(단, 현장답사비 1만원 수강생 부담)","온라인접수, 방문접수",
