Id,Title,DateOfRegistration,Deadline,JobCategory,ExperienceRequired,EmploymentType,Salary,SocialEnsurance,RetirementBenefit,Address,Category,WorkingHours,WorkingType,CompanyName,JobDescription,ApplicationMethod,ApplicationType,Document,Detail,Post
1,내발산동 아파트 청소원 채용 (복지카드필수),"25/05/28 등록
25/07/27 마감",25/07/27 마감,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",관계없음,기간의 정함이 있는 근로계약,월급 143만원 이상,"국민연금
고용보험
산재보험
건강보험",해당없음,"서울특별시 강서구 강서로47길 108 (내발산동, 마곡수명산파크1단지아파트)",강서구,"(근무시간) (오전) 9시 00분 ~ (오후) 4시 00분
휴게시간( (오전) 11시30분~(오후) 01시00분)
주 소정근로시간
툴팁
: 27시간","주 5일 근무
(주 소정근로시간: 27시간)",(주)밝은티에스,"-업무: 수명산파크1단지 아파트(공용부) 청소
-근무시간: 주 5일, 09:00~16:00(휴게시간 11:30~13:00)/ 토요일 휴무
-급여: 월급 1,438,230원
-필수: 복지카드","방문,
기타 (전화통화 후 방문(010-6601-8690))",면접,이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAE002505280002&rtnTarget=list3,
2,청담래미안아파트 미화원 채용,25/05/28 등록,채용시까지,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",관계없음,기간의 정함이 있는 근로계약,월급 140만원 ~ 140만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 강남구 학동로 405, 청담래미안아파트 (청담동)",강남구,"(근무시간) (오전) 9시 00분 ~ (오후) 3시 30분
주 소정근로시간
툴팁
: 26시간","주 5일 근무
(주 소정근로시간: 26시간)",일신환경(주),"* 청담래미안아파트 내부 청소(신주 있으나 신경 안써도 됨)
* 장애인 복지카드 소지자(수당 7만원 별도지급)
* 9:00~15:30(휴게1.14시간)/주5일
* 월1,402,200원
* 3개월 계약 이후 근로계약 연장",방문,면접,이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAZ002505280007&rtnTarget=list5,Y
3,재가요양보호사 채용(창동),25/05/28 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 도봉구 덕릉로63가길 43 (창동, 창동대우아파트)",도봉구,"(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분
주 소정근로시간
툴팁
: 18시간","주 6일 근무
(주 소정근로시간: 18시간)",가족사랑방문요양복지센터,"4등급 여어르신 방문 케어 
- 창2동 대우아파트 거주
- 부축/걷기운동 도움, 식사조리, 가사 등 일상생활 지원
- 주6일, 09-12시 근무
- 포괄시급 12,700원",방문,면접,기타(자격증사본),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAK002505280006&rtnTarget=list7,Y
4,흑석동)명수대현대아파트 내부 미화원 구인 (복지카드소지자 우대),"25/05/28 등록
25/06/11 마감",25/06/11 마감,건물 청소원,신입,기간의 정함이 있는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 동작구 흑석동 현충로 119, 명수대현대 아파트 (흑석동, 명수대현대아파트)",동작구,"※ 상세 근무시간
평일 : 09:00 ~ 15:15 (휴게시간 1.5),
토요일 : 09:00~12:00 (격주)
휴게시간( (오후) 12시00분~(오후) 01시00분)
주 소정근로시간
툴팁
: 28시간","주 6일 근무
(주 소정근로시간: 28시간)",(주)현대종합관리,"흑석동)명수대현대아파트 내부 미화원 구인 (복지카드소지자 우대)

-근무시간: 09:00~15:15 (휴게 12:00~13:00) / 토요일 09:00~12:00(격주근무)
-급여: 월 1,438,240원
-문의: 010-2371-3978

※복지카드 소지시 수당 별도 지급","방문,
기타 (전화문의 010-2371-3978)",면접,"이력서,기타 (전화 010-2371-3978)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAM002505280002&rtnTarget=list8,Y
5,재가 요양보호사-시흥2동 2등급 남 오전 주5일,25/05/28 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약,"시급 13,000원 ~ 13,500원","국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 금천구 금하로 796, . (시흥동, 벽산6단지아파트)",금천구,(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분,주 5일 근무,민들레 재가 복지센터,"○ 2등급 남
○ 시흥2동 벽산6단지
○ 주5일, 09:00-12:00 (희망시 13:00까지 근무 가능)
○ 시급 13,000~13,500원",방문,면접,기타(자격증 사본),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAI002505280002&rtnTarget=list9,Y
6,개포 4차 우성아파트 미화원 모집,25/05/28 등록,채용시까지,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",관계없음,기간의 정함이 있는 근로계약,월급 147만원 ~ 147만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 강남구 언주로 117 (도곡동, 개포4차우성아파트)",강남구,"(근무시간) (오전) 9시 00분 ~ (오후) 3시 30분
휴게시간( (오후) 12시00분~(오후) 01시00분)
주 소정근로시간
툴팁
: 27시간","주 5일 근무
(주 소정근로시간: 27시간)",나라개발시스템주식회사,"[ 개포4차 우성 아파트 미화원 모집 ]

- 아파트 미화  업무

- 근무시간 : 월~금 09:00~15:30 / 휴게 1시간

- 주 5일 / 주 27.5시간

- 급여 1,473,310원

- 강남구 언주로 117 소재

***장애인 복지카드소지자 우대","방문,
기타 (전화 010 8701 9456)",면접,이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KEC0042505280003&rtnTarget=list7,Y
7,테라팰리스건대2차아파트 관리원 채용,25/05/28 등록,채용시까지,건물 관리원,경력 (최소 1년 0 개월 이상) 필수,기간의 정함이 있는 근로계약,월급 211만원 ~ 211만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 광진구 아차산로 311, 테라팰리스건대2차아파트 (자양동, 테라팰리스 건대2차)",광진구,"(근무시간) (오전) 7시 00분 ~ (오후) 7시 00분
(격일근무)
주 소정근로시간
툴팁
: 40시간","주 4일 근무
(주 소정근로시간: 40시간)",서림주택관리（주）,"* 테라팰리스건대2차아파트(1개동 17층) 경비 및 관리업무
* 경비원신임교육이수증 및 경력1년 필수
* 휴게시간: 주간2시간 + 야간6시간30분(18:00~20:00 + 22:30~익일05:00)

* 지원자는 이력서 지참/관리사무실(02-446-9063) 통화 후 방문면접",Not found,Not found,Not found,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAG002505280003&rtnTarget=list9,Y
8,[홈플러스 상봉점] 미화 및 카트원 채용공고,25/05/28 등록,채용시까지,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",경력 (최소 0년 6 개월 이상) 필수,기간의 정함이 있는 근로계약,월급 180만원 ~ 180만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,서울특별시 중랑구 망우로 353 홈플러스상봉점(상봉 프레미어스 엠코),중랑구,"(근무시간) (오전) 6시 00분 ~ (오후) 2시 00분
주 소정근로시간
툴팁
: 33시간","주 5일 근무
(주 소정근로시간: 33시간)",(주)고암,"*매장 바닥 기계 세정 및 카트 수거 업무
*운전면허 소지자 우대
*탑승식 세정차 운전 가능자 
*6:00~14:00(휴게2시간)/주5.5일(월8~9회 스케줄 휴무)
*월180만원",방문,"서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAZ002505280003&rtnTarget=list3,
9,기쁨병원 내부미화원 모집,"25/05/28 등록
25/07/27 마감",25/07/27 마감,건물 청소원,관계없음,기간의 정함이 있는 근로계약(시간(선택)제),월급 270만원 ~ 270만원,"국민연금
고용보험
산재보험
건강보험",퇴직연금,서울특별시 서초구 서초중앙로 4 (서초동),서초구,"※ 상세 근무시간
평일 06:30-17시(휴게3시간). 토 06:30-15:30(휴게3시간). 
5주에 1번 토요일 당직근무 있음(15:30~20시까지/휴게3시간)
휴게시간 08-09시, 11-12시
주 소정근로시간
툴팁
: 39시간","주 6일 근무
(주 소정근로시간: 39시간)",(주)유니에스,"[기쁨병원 내부미화원 모집]
병원 담당구역 청소
-주6일, 평일 06:30-17시(휴게3시간). 토 06:30-15:30(휴게3시간). 
5주에 1번 토요일 당직근무 있음(15:30~20시까지/휴게3시간)
휴게시간 08-09시, 11-12시
-국공휴일 1명 순번제 당직. 임시대체공휴일 전원 근무.
-2식 제공
-월270만원(연차수당 포함)","방문,팩스,
이메일 (개인회원 로그인 후 조회가능),
기타 (전화지원 윤희종 010 8799 6024) 기본 이력서 이메일 보내기","서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAB002505280002&rtnTarget=list5,
10,[신정동] 현대하이페리온2 내외부 미화원 모집,25/05/28 등록,채용시까지,건물 청소원,관계없음,기간의 정함이 있는 근로계약(시간(선택)제),월급 163만원 ~ 168만원,"국민연금
고용보험
산재보험
건강보험",퇴직연금,"서울특별시 양천구 오목로 300, 신정동 (목동, 현대하이페리온2)",양천구,"※ 상세 근무시간
-08:00~16:00, 격주 토 09:00~12:00 / 휴게시간 평일 2시간 
주 소정근로시간
툴팁
: 31시간","주 6일 근무
(주 소정근로시간: 31시간)",（주）홈스웰,"-현대하이페리온 2 / 내부(3) 및 외부(1) 미화
-08:00~16:00, 격주 토 09:00~12:00 / 휴게시간 평일 2시간 
-급여 : 외곽 1,684,650원, 내부 1,634,350원
-문의 미화팀장 010-2910-4160","방문,
기타 (전화 후 방문)",면접,이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAT002505280001&rtnTarget=list1,
11,서울한남초등학교 시설관리 채용,25/05/28 등록,채용시까지,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),관계없음,기간의 정함이 없는 근로계약,월급 238만원 이상,"고용보험
산재보험
건강보험",퇴직연금,"서울특별시 용산구 한남대로 112, 한남초등학교 (한남동)",용산구,"(근무시간) (오전) 7시 30분 ~ (오후) 4시 30분
주 소정근로시간
툴팁
: 40시간","주 5일 근무
(주 소정근로시간: 40시간)",(주)필씨엔에스,"서울한남초등학교 시설관리
월급 2,387,940원
근무시간: 평일07:30~16:30(휴게시간 12:00~13:00) 주40시간 주5일",기타(담당자 전화 면접 우선),"서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KEC0842505280001&rtnTarget=list5,
