Id,Title,DateOfRegistration,Deadline,JobCategory,ExperienceRequired,EmploymentType,Salary,SocialEnsurance,RetirementBenefit,Address,Category,WorkingHours,WorkingType,CompanyName,JobDescription,ApplicationMethod,ApplicationType,Document,Detail
20,상현동 요양보호사 채용,25/06/16 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직연금,"경기도 용인시 수지구 만현로 79, 502동 (상현동, 만현마을 5단지 아이파크)",용인시,"(근무시간) (오전) 11시 00분 ~ (오후) 6시 00분
주 소정근로시간
툴팁
: 35시간","주 5일 근무
(주 소정근로시간: 35시간)",예담재가복지센터,"- 4등급 할아버지, 2등급 할머니 케어
- 식사도움, 가사도움, 약복용도움, 목욕, 산책(휠체어 사용)
- 근무시간: 11:00~18:00 (주5일)
- 시급 10,030원 + 주휴수당+수당 등=13,000원 
- 문의전화: 010-2207-6674

※ 근로계약기간의 정함이 없는 근로자를 채용하는 것이더라도 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있습니다.","방문,
기타 (문의전화: 010-2207-6674)","기타(전화, 내방)",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKX002506160011&rtnTarget=list1
1,[하대원동/3등급 여] 재가요양보호사 채용,25/06/13 등록,채용시까지,요양보호사,신입,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 성남시 중원구 마지로 51, . (하대원동)",성남시,"(근무시간) (오전) 11시 00분 ~ (오후) 2시 00분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",나무재가복지센터,"- 하대원동 3등급 할머님 재가 대상자케어
- 일상생활지원서비스(말벗,  외출동행, 정리정돈)
- 주5일 :11:00~14:00(시간협의)
- 급여 : 시급10,030원+주휴수당+수당=12,900원
- 지원 (010-4708-2211)

※근로계약기간의 정함이 없는 근로자를 채용하는 것이라 하더라도 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있습니다.",기타(유선지원(010-4708-2211)),면접,"기타(건강검진결과, 자격증)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKX002506130007&rtnTarget=list3
2,재가요양보호사 / 치매교육이수자,"25/06/13 등록
25/08/12 마감",25/08/12 마감,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 안산시 상록구 구룡로 87, (상세주소 확인) (일동)",안산시,"※ 상세 근무시간
9시~12시
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",성은방문요양센터,"▣ 일동5등급 남어르신  9시~12시
▣ 식사, 청소, 산책, 인지활동
▣시급12,700원(제수당 포함)
문의☎ 010-7340-4560","방문,
기타 (전화 후 방문지원하세요)","서류,면접","이력서,기타 (요양보호사 자격증사본)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKP002506130014&rtnTarget=list6
3,외곽 미화원 구인,25/06/13 등록,채용시까지,건물 청소원,관계없음,기간의 정함이 있는 근로계약,월급 195만원 ~ 195만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 부천시 원미구 정주로 53 (약대동, 신중동 더퍼스트 지식산업센터)",부천시,"(근무시간) (오전) 8시 00분 ~ (오후) 4시 00분
주 소정근로시간
툴팁
: 35시간","주 5일 근무
(주 소정근로시간: 35시간)",신중동더퍼스트 관리단,"- 외곽 미화원 구인
- 주차장청소, 청소차 운행
- 7월 1일 출근
* 운전면허소지자 우대","팩스,
이메일 (개인회원 로그인 후 조회가능) 기본 이력서 이메일 보내기","서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJ21002506130011&rtnTarget=list9
4,[동탄] 동탄파크푸르지오 미화원 모집,25/06/13 등록,채용시까지,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",관계없음,기간의 정함이 있는 근로계약(시간(선택)제),월급 164만원 ~ 164만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 화성시 동탄대로24가길 7, . (영천동, 동탄 파크 푸르지오)",화성시,"※ 상세 근무시간
주 5일: 8:30~15:30, 토: (격주):9시~12시, 휴게시간: 12:00~13:00
휴게시간( (오후) 12시00분~(오후) 01시00분)
주 소정근로시간
툴팁
: 31시간","주 5일 근무
(주 소정근로시간: 31시간)",유한책임회사 굿모닝대양,"◆ 동탄파크 푸르지오 내부 미화원 모집
- 내부 미화 1명 
- 월급 : 1,647,430원 
- 주 5일: 8:30~15:30, 토: (격주):9시~12시, 
   휴게시간: 12:00~13:00
- 근무장소 : 화성시 동탄대로24가길 7","방문,
기타 (전화 후 방문(010-2573-9922))","서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJK6002506130012&rtnTarget=list2
5,(파주읍 연풍리) 5등급 독거 할아버지케어 재가요양보호사 모집,25/06/13 등록,채용시까지,요양보호사,경력 (최소 0년 1 개월 이상) 우대,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직연금,"경기도 파주시 파주읍 연풍4길 88-12, ..",파주시,"(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",청옥방문재가센터,"(파주읍 연풍리) 5등급 독거 할아버지 케어 재가요양보호사 모집
/자립보행, 대화소통 가능, 정갈하고 온화한 성품 , 주변정리 및 인지프로그램
/ 주5일 9-12시 
/ 시급 13,000원(주휴수당 등 포함)
/ 전화문의 010-5615 -6077

***** 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음.","방문,워크넷
고용24 입사지원",면접,기타(요양보호사 자격증(개인정보 가림처리) 1년안에 검진 한 건강검진 기록지(채용완료 후 제출) 통장사본(채용완료 후 제출)),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KEC0252506130006&rtnTarget=list5
6,재가 요양보호사 채용,"25/06/13 등록
25/08/12 마감",25/08/12 마감,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 의정부시 흥선로 20, 치매안심센터 인근 (가능동)",의정부시,"(근무시간) (오전) 9시 30분 ~ (오후) 12시 30분
주 소정근로시간
툴팁
: 15시간","주 6일 근무
(주 소정근로시간: 15시간)",더사랑방문요양센터,"▶4등급 남 어르신 (독거/약간의 흡연)
▶일상생활지원 및 가사지원
▶격주6일 / 09:30~12:30
▶시급:10,030원(수당포함시 12,700원)
☎ 이외선 센터장 010-5879-9056 통화 후 면접","방문,
기타 (센터장(010-5879-9056) 전화 후 면접)",면접,기타(면접시// 요양보호사자격증/건강검진결과표(최근발행)),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKZ002506130011&rtnTarget=list6
7,[파주시 파주읍 향양리] 한강식품 인근 재가요양보호사 모집,25/06/13 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 파주시 파주읍 성현안길 204, 인근 (상세주소 문의)",파주시,"근무시간 협의가능
※ 상세 근무시간
주6일 근무, 1일 3시간 (오전, 오후 무관하나 오전(09:00~12:00) 선호)
주 소정근로시간
툴팁
: 18시간","주 6일 근무
(주 소정근로시간: 18시간)",고양실버재가센터,"[파주시 파주읍 향양리] 한강식품 인근 3등급 아버님
/ 워커로 이동하심
/ 가사, 청소, 세탁, 이동도움, 산책, 병원동행 등
/ 주6일 근무, 1일 3시간 (오전, 오후 무관하나 오전(09:00~12:00) 선호)
/ 시급: 10,030원(기본시급 10,030+주휴수당, 연차수당 등 제 수당 포함하여 12,700원 지급, 시급 조정 가능)
/ 출퇴근시 자차이용자(필수, 대중교통 불편함)
/ 출근예정일: 202.06.25(수) 이후~
/ 채용담당자(010-6218-6138) 통화 후 면접

*실제 서비스제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주소정근로시간이나 임금, 근무(예정)지에 등에 따라 차이가 있을수 있음","방문,워크넷,
기타 (채용담당자 통화 후 면접 또는 고용24 입사 지원)
고용24 입사지원",기타(채용담당자 통화 후 면접 또는 고용24 입사 지원),기타(요양보호사 자격증(사본)),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKC002506130021&rtnTarget=list7
8,[고양동] 4등급 할아버지 재가요양보호사 채용,25/06/13 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 고양시 덕양구 푸른마을로 15, . (고양동, 푸른마을3단지아파트)",고양시,"(근무시간) (오후) 3시 00분 ~ (오후) 6시 00분
주 소정근로시간
툴팁
: 9시간","주 3일 근무
(주 소정근로시간: 9시간)",힘찬홈케어,"[고양동]  4등급 할아버지 재가요양업무
/ 일상생활지원 및 수급자 케어 
/ 주3일(월수금) 근무  15시~18시 
/ 시급  10,030원 + 수당(주휴/연차) = 13,700원 
/ 채용담당자  통화 후 면접
* 실제 서비스 제공 기간에 따라 임금을 계산하면 지급하는 형태로 
채용 시 근무지 마다 주 소정 근로 시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음.",기타(채용담당자 통화 후 면접),"서류,면접","기타(요양보호사자격증 사본, 채용시 건강검진결과표)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKC002506130020&rtnTarget=list9
9,의정부 보건소 부근 4등급 오후 재가 요양보호사 구인,25/06/13 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직연금,"경기도 의정부시 둔야로 6-3, 럭키하우스 (의정부동)",의정부시,"(근무시간) (오후) 1시 00분 ~ (오후) 4시 00분
주 소정근로시간
툴팁
: 18시간","주 6일 근무
(주 소정근로시간: 18시간)",두손방문요양센터,"*  의정부 보건소 부근  오후 재가 요양보호사 구인
*  4등급 92세 할아버지 (독거) 
*  일상생활가사지원 및  병원동행 /부축
*  근무시간 : 13시 ~ 16시 /주6일 /  
   시급 12,700원(수당포함) 

*  면접을 희망하시는 분은 담당자와  통화 후 진행하시기 바랍니다",방문,면접,이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKZ002506130010&rtnTarget=list1
