Id,Title,DateOfRegistration,Deadline,JobCategory,ExperienceRequired,EmploymentType,Salary,SocialEnsurance,RetirementBenefit,Address,Category,WorkingHours,WorkingType,CompanyName,JobDescription,ApplicationMethod,ApplicationType,Document,Detail
1,[후암동/4등급(할머니)/09:00~12:00] 재가요양보호사 모집,25/06/13 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,서울특별시 용산구 후암로28길 38 (후암동),용산구,"(근무시간) (오후) 1시 00분 ~ (오후) 4시 00분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",효드림방문요양센터,"- 대 상 자  : 후암동(후암동시장에서 3분거리)/ 4등급 할머니
- 직무내용 :청소와 식사챙기기와 일상생활지원   
- 근무시간 : 13:00~16:00(주5일)
- 시      급 : 13,000원(기본시급 10,030원 +기타수당 포함) 
* 지원문의 : 전화(02-717-2298/ 010-9019-6290)","방문,
기타 (지원문의 : 02-717-2298/ 010-9019-6290)","서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAS002506130018&rtnTarget=list1
2,[효창동/3등급] 재가 요양보호사 구인,"25/06/13 등록
25/08/12 마감",25/08/12 마감,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 용산구 효창원로66길 35-7, . (효창동, 대신빌리지)",용산구,"(근무시간) (정오) 12시 00분 ~ (오후) 3시 00분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",효드림방문요양센터,"[효창동/3등급] 할머니 재가요양보호

-어르신과 산책도움과 식사챙겨도움과 샤워도움

- 주5일 근무 / 근무시간 :12:00~15:00

- 13,000원 (시급10,030원 + 수당별도가능)",방문,면접,기타(자격증 사본),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAS002506130017&rtnTarget=list2
3,시설관리 및 외부환경정비 채용 공고,25/06/13 등록,채용시까지,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),경력 (최소 1년 0 개월 이상) 우대,기간의 정함이 있는 근로계약,월급 224만원 ~ 224만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,서울특별시 구로구 구일로 90-51 (구로동),구로구,"※ 상세 근무시간
주5일근무 07:30~16:30/근무시간8시간휴게시간 1시간
주 소정근로시간
툴팁
: 40시간","주 5일 근무
(주 소정근로시간: 40시간)",(주)광개토환경,"구로구 고등학교 시설원 채용
-주5일근무 07:30~16:30/근무시간8시간휴게시간 1시간
-급여: 2,246,270원
-직무: 학교 내외부기본 영선 업무, 조경 청소쪽 업무 등
-우대사항:시설관련 자격증/인근거주자","팩스,
기타 (지원문의 통화 이력서 담당자에게 사진전송 (010-3141-1497))",기타(지원문의 통화 후 개별면접 진행),"이력서,기타 (이력서..)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKR002506130024&rtnTarget=list5
4,재가요양보호사 모집 - 3등급 / 여자어르신 / 마곡나루역 바로 앞,25/06/13 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약,"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직연금,"서울특별시 강서구 마곡중앙5로 6, 마곡나루역보타닉푸르지오시티 (마곡동)",강서구,"※ 상세 근무시간
07:00~10:00",주 6일 근무,여의도가족사랑재가복지센터,"[재가요양보호사 모집]

직무: 3등급 여자 어르신 돌봄 - 85세 어르신 / 거동가능 /  신체지원, 가사일상지원, 정서지원 등 

근무시간: 07:00~10:00 / 주6일 

시급: 12,800원 (주휴수당, 연차수당, 기타수당 등 포함)

* 전화지원 김연옥센터장 010-7430-3160",기타(전화지원(010-7430-3160)),"면접,
기타 (전화지원(010-7430-3160))",기타(요양보호사자격증),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAU002506130013&rtnTarget=list7
5,[수유역 / 3등급 할머님/ 오후/ *주3일] 재가요양보호사 채용,25/06/13 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 있는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","고용보험
산재보험",퇴직금,"서울특별시 강북구 인수봉로38길 16, .. (수유동)",강북구,"(근무시간) (오후) 1시 00분 ~ (오후) 4시 00분
주 소정근로시간
툴팁
: 9시간","주 3일 근무
(주 소정근로시간: 9시간)",아리아케어방문요양강북수유센터,"[수유동(화계역) / 3등급 할머님/ 오후/ *주3일] 재가요양보호사 채용

- 주 3일 / 13:00~16:00
- 식사도움, 청소, 말벗 등 도움
- 시급: 10,030원(각종 수당 포함 13,000원)
- 연락 후 방문 지원","방문,
기타 (전화상담 후 방문 접수)","서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAX002506130008&rtnTarget=list8
6,행당동 서울숲삼부아파트 내부 미화원 모집,25/06/13 등록,채용시까지,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",관계없음,기간의 정함이 있는 근로계약,월급 143만원 ~ 143만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 성동구 왕십리로 280, . (행당동, 서울숲삼부아파트)",성동구,"※ 상세 근무시간
평일 09:00~15:00 / 휴게 1시간
토 09:00~12:00
주 소정근로시간
툴팁
: 28시간","주 6일 근무
(주 소정근로시간: 28시간)",나라개발시스템주식회사,"[ 서울숲 삼부아파트  내부 미화원 모집 ]

- 아파트 내부 미화

- 근무시간 09:00~15:00(휴게시간 1시간)
              09:00~12:00(토요일)

- 급여 1,438,310원

- 장애인복지카드 소지 우대",방문,면접,이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KEC0042506130005&rtnTarget=list10
7,[면목동] 서울우유 본사 건물 미화 채용공고,25/06/13 등록,채용시까지,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",관계없음,기간의 정함이 없는 근로계약,월급 218만원 ~ 218만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 중랑구 중랑천로 71 71, 서울우유 (상봉동)",중랑구,"(근무시간) (오전) 5시 00분 ~ (오후) 3시 00분
주 소정근로시간
툴팁
: 40시간","주 5일 근무
(주 소정근로시간: 40시간)",에스비휴맥주식회사,"*서울우유 본사 건물 내부 청소(총 6명 근무)
*인근거주자 우대
*5:00~15:00(휴게2시간)/주5일
*월218만원",방문,"서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAZ002506130003&rtnTarget=list1
8,답십리동 4등급 할아버지(독거) 8:30~11:30 재가요양보호사,"25/06/13 등록
25/08/12 마감",25/08/12 마감,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,서울특별시 동대문구 사가정로 25 (답십리동),동대문구,"(근무시간) (오전) 8시 30분 ~ (오전) 11시 30분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",기쁨샘재가노인복지센터,"답십리동 4등급할아버지 
8:30~11:30 주5일
- 장기요양시급 10,030원+기타수당 별도

식사도움.","방문,
기타 (전화 후 방문)","서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAL002506130006&rtnTarget=list4
9,[은평구 갈현로/ 아파트 미화원 구인],25/06/13 등록,채용시까지,환경 미화원,관계없음,기간의 정함이 있는 근로계약,월급 185만원 이상,"국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 은평구 갈현로23길 41, .. (갈현동, 한솔아파트)",은평구,"(근무시간) (오전) 8시 00분 ~ (오후) 4시 00분
휴게시간( (오후) 12시00분~(오후) 01시00분)
주 소정근로시간
툴팁
: 32시간","주 5일 근무
(주 소정근로시간: 32시간)",주식회사 우리들관리,"[은평구 갈현로/ 아파트 미화원 구인]

-아파트 내 공용부 미화원 업무

-근무시간 : 월, 화, 목 ,금- 08:00~16:00(휴게 1시간) /  08:00~12:00

- 주 5일 근무

-급여 : 월 1,850,000원

-근무지 : 서울시 은평구 갈현로 23길41","방문,
기타 (채용담당자와 먼저 통화 후 면접)","서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KEC0042506130003&rtnTarget=list10
10,아파트경비원모집 - 영등포구 신길동 한성아파트,25/06/13 등록,채용시까지,아파트·빌라 경비원,관계없음,기간의 정함이 있는 근로계약,월급 228만원 이상,"국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 영등포구 가마산로 575, 한성아파트(병무청 (신길동, 한성아파트)",영등포구,"※ 상세 근무시간
06:00~익일06:00(격일근무)
(격일근무)
주 소정근로시간
툴팁
: 48시간","주 3일 근무
(주 소정근로시간: 48시간)",주식회사 이데아그룹,"아파트 경비업무/신임교육필수/복지카드소지자 우대
06:00~익일06:00(휴게 주4,야6)
월 2,288,100원
전화문의 후 지원가능 010-3270-1775(권태국본부장)",Not found,Not found,Not found,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAU002506130009&rtnTarget=list3
